timestamp,ifInOctets,ifOutOctets,ifInErrors,ifOutErrors,latencia_ms,perdida_paquetes,RSRP_dBm,SINR_dB,BW_in_Mbps,BW_out_Mbps,TasaErrorIn_%,TasaErrorOut_%,CalidadSenal
2023-08-23 02:39:00,8204212,4367239,2,3,43.46,0,-89,16.35,0.22,0.12,0.0,0.0001,Regular
2023-08-23 02:40:00,5472471,1808166,14,7,31.98,0,-89,25.27,0.15,0.05,0.0003,0.0004,Buena
2023-08-23 02:41:00,5523669,3369530,13,2,7.48,1,-85,12.94,0.15,0.09,0.0002,0.0001,Regular
2023-08-23 02:42:00,8404852,2595104,17,9,89.14,0,-90,2.49,0.22,0.07,0.0002,0.0003,Mala
2023-08-23 02:43:00,5981505,4220922,13,1,89.17,0,-102,15.65,0.16,0.11,0.0002,0.0,Regular
2023-08-23 02:44:00,2766891,4432623,4,6,24.87,0,-95,17.38,0.07,0.12,0.0001,0.0001,Regular
2023-08-23 02:45:00,5521373,1623270,13,3,20.47,0,-88,15.35,0.15,0.04,0.0002,0.0002,Regular
2023-08-23 02:46:00,7019877,3011019,7,5,56.99,0,-101,7.74,0.19,0.08,0.0001,0.0002,Mala
2023-08-23 02:47:00,4344769,1830728,14,4,64.92,0,-86,6.71,0.12,0.05,0.0003,0.0002,Mala
2023-08-23 02:48:00,1103355,1529242,14,1,95.97,1,-91,11.09,0.03,0.04,0.0013,0.0001,Regular
2023-08-23 02:49:00,2262752,2667626,18,9,40.85,0,-105,4.99,0.06,0.07,0.0008,0.0003,Mala
2023-08-23 02:50:00,6664789,4208201,19,1,63.73,1,-105,19.98,0.18,0.11,0.0003,0.0,Regular
2023-08-23 02:51:00,6743066,850068,5,8,88.43,0,-88,18.44,0.18,0.02,0.0001,0.0009,Regular
2023-08-23 02:52:00,7113790,3924638,18,9,47.75,0,-111,18.97,0.19,0.1,0.0003,0.0002,Regular
2023-08-23 02:53:00,5721339,3238384,7,1,16.62,0,-88,6.74,0.15,0.09,0.0001,0.0,Mala
2023-08-23 02:54:00,4275709,904911,5,7,40.86,0,-108,7.4,0.11,0.02,0.0001,0.0008,Mala
2023-08-23 02:55:00,1084654,3008164,19,7,17.97,0,-90,23.62,0.03,0.08,0.0018,0.0002,Buena
2023-08-23 02:56:00,6147581,3819343,14,0,6.58,0,-110,20.7,0.16,0.1,0.0002,0.0,Regular
2023-08-23 02:57:00,2954354,4143394,2,0,76.4,0,-84,26.26,0.08,0.11,0.0001,0.0,Buena
2023-08-23 02:58:00,9242680,2237075,9,3,27.65,0,-84,12.11,0.25,0.06,0.0001,0.0001,Regular
2023-08-23 02:59:00,3428388,1669070,14,1,5.19,0,-104,16.42,0.09,0.04,0.0004,0.0001,Regular
2023-08-23 03:00:00,9916786,4637075,15,0,87.88,0,-110,22.16,0.26,0.12,0.0002,0.0,Regular
2023-08-23 03:01:00,3663046,671277,16,8,47.16,0,-103,29.22,0.1,0.02,0.0004,0.0012,Regular
2023-08-23 03:02:00,6499720,2893455,18,2,27.69,0,-82,29.69,0.17,0.08,0.0003,0.0001,Buena
2023-08-23 03:03:00,7640913,1861212,10,0,29.97,0,-93,29.98,0.2,0.05,0.0001,0.0,Buena
2023-08-23 03:04:00,4416664,2103344,15,1,27.85,0,-99,26.72,0.12,0.06,0.0003,0.0,Regular
2023-08-23 03:05:00,4385659,3773751,4,7,23.48,0,-115,19.19,0.12,0.1,0.0001,0.0002,Regular
2023-08-23 03:06:00,4385357,2969491,4,4,84.92,0,-109,0.21,0.12,0.08,0.0001,0.0001,Mala
2023-08-23 03:07:00,2465689,3422321,13,6,21.18,0,-103,20.99,0.07,0.09,0.0005,0.0002,Regular
2023-08-23 03:08:00,1068148,1881710,17,5,58.38,0,-102,7.16,0.03,0.05,0.0016,0.0003,Mala
2023-08-23 03:09:00,2825665,3091822,7,0,12.35,0,-99,1.72,0.08,0.08,0.0002,0.0,Mala
2023-08-23 03:10:00,3745683,2557797,4,5,95.2,0,-86,20.92,0.1,0.07,0.0001,0.0002,Buena
2023-08-23 03:11:00,5056518,1301818,6,6,62.31,1,-82,22.68,0.13,0.03,0.0001,0.0005,Buena
2023-08-23 03:12:00,3669995,2718787,15,3,90.8,0,-89,19.78,0.1,0.07,0.0004,0.0001,Regular
2023-08-23 03:13:00,5997895,3295766,13,7,42.8,0,-91,10.96,0.16,0.09,0.0002,0.0002,Regular
2023-08-23 03:14:00,7397986,4915239,4,7,82.01,0,-81,15.33,0.2,0.13,0.0001,0.0001,Regular
2023-08-23 03:15:00,2870928,3699362,8,6,86.1,0,-107,28.05,0.08,0.1,0.0003,0.0002,Regular
2023-08-23 03:16:00,5155299,3601373,3,1,71.78,0,-110,21.89,0.14,0.1,0.0001,0.0,Regular
2023-08-23 03:17:00,7249859,3300174,3,5,13.83,0,-90,15.14,0.19,0.09,0.0,0.0002,Regular
2023-08-23 03:18:00,3305413,1373420,15,5,6.53,0,-89,17.8,0.09,0.04,0.0005,0.0004,Regular
2023-08-23 03:19:00,4910197,992503,16,6,21.01,1,-85,27.83,0.13,0.03,0.0003,0.0006,Buena
2023-08-23 03:20:00,6558019,4912903,14,5,16.22,0,-113,11.81,0.17,0.13,0.0002,0.0001,Regular
2023-08-23 03:21:00,6414709,2835071,3,1,73.89,0,-92,3.06,0.17,0.08,0.0,0.0,Mala
2023-08-23 03:22:00,1271836,3065820,5,7,57.92,0,-101,9.77,0.03,0.08,0.0004,0.0002,Mala
2023-08-23 03:23:00,4584702,3000511,15,3,54.97,0,-110,12.46,0.12,0.08,0.0003,0.0001,Regular
2023-08-23 03:24:00,8281369,4578813,3,8,29.02,0,-105,8.19,0.22,0.12,0.0,0.0002,Mala
2023-08-23 03:25:00,3299435,3996716,5,7,19.69,0,-86,15.87,0.09,0.11,0.0002,0.0002,Regular
2023-08-23 03:26:00,9585377,1444461,4,2,24.62,0,-81,9.15,0.26,0.04,0.0,0.0001,Mala
2023-08-23 03:27:00,3658505,1967256,15,2,43.03,0,-87,3.1,0.1,0.05,0.0004,0.0001,Mala
2023-08-23 03:28:00,2271741,4849025,15,7,75.31,0,-93,5.64,0.06,0.13,0.0007,0.0001,Mala
2023-08-23 03:29:00,4769315,4830972,9,1,29.18,0,-113,27.54,0.13,0.13,0.0002,0.0,Regular
2023-08-23 03:30:00,2046797,778518,8,8,71.37,0,-90,18.89,0.05,0.02,0.0004,0.001,Regular
2023-08-23 03:31:00,4047262,3911647,3,3,51.69,0,-102,9.43,0.11,0.1,0.0001,0.0001,Mala
2023-08-23 03:32:00,1564685,3205421,13,5,89.12,0,-97,11.01,0.04,0.09,0.0008,0.0002,Regular
2023-08-23 03:33:00,3879190,1864359,3,2,27.13,0,-95,14.8,0.1,0.05,0.0001,0.0001,Regular
2023-08-23 03:34:00,6596411,1662586,11,2,47.83,0,-95,20.19,0.18,0.04,0.0002,0.0001,Regular
2023-08-23 03:35:00,2007293,906884,9,2,14.18,0,-107,17.47,0.05,0.02,0.0004,0.0002,Regular
2023-08-23 03:36:00,5774183,4953325,3,9,36.84,0,-103,27.98,0.15,0.13,0.0001,0.0002,Regular
2023-08-23 03:37:00,4366612,647032,17,1,53.15,0,-92,18.77,0.12,0.02,0.0004,0.0002,Regular
2023-08-23 03:38:00,9411855,3788157,12,7,74.61,0,-105,27.32,0.25,0.1,0.0001,0.0002,Regular
2023-08-23 03:39:00,6267180,1862516,12,8,23.82,0,-87,0.16,0.17,0.05,0.0002,0.0004,Mala
2023-08-23 03:40:00,8807313,2875100,13,7,25.72,0,-99,26.72,0.23,0.08,0.0001,0.0002,Regular
2023-08-23 03:41:00,3704238,2218562,17,9,65.0,0,-90,21.64,0.1,0.06,0.0005,0.0004,Buena
2023-08-23 03:42:00,3630708,2756356,0,2,41.33,0,-90,5.17,0.1,0.07,0.0,0.0001,Mala
2023-08-23 03:43:00,4494679,1829785,15,6,50.8,0,-104,7.89,0.12,0.05,0.0003,0.0003,Mala
2023-08-23 03:44:00,6517209,4799376,14,9,84.43,0,-98,16.28,0.17,0.13,0.0002,0.0002,Regular
2023-08-23 03:45:00,2767640,3261642,4,1,52.41,0,-107,3.75,0.07,0.09,0.0001,0.0,Mala
2023-08-23 03:46:00,7723771,4783664,5,3,66.99,0,-113,23.56,0.21,0.13,0.0001,0.0001,Regular
2023-08-23 03:47:00,2285160,3883737,5,5,67.39,0,-106,23.74,0.06,0.1,0.0002,0.0001,Regular
2023-08-23 03:48:00,7080526,1192353,2,4,81.34,1,-114,9.03,0.19,0.03,0.0,0.0003,Mala
2023-08-23 03:49:00,6173036,3258566,15,8,65.62,0,-108,2.09,0.16,0.09,0.0002,0.0002,Mala
2023-08-23 03:50:00,2425472,2828033,11,9,11.16,0,-98,29.67,0.06,0.08,0.0005,0.0003,Regular
2023-08-23 03:51:00,1048984,1655933,3,3,37.51,0,-85,7.52,0.03,0.04,0.0003,0.0002,Mala
2023-08-23 03:52:00,7556168,1990309,0,4,98.99,0,-102,2.03,0.2,0.05,0.0,0.0002,Mala
2023-08-23 03:53:00,2504384,4901744,3,3,23.67,0,-83,9.9,0.07,0.13,0.0001,0.0001,Mala
2023-08-23 03:54:00,3230919,3805107,0,7,60.74,0,-87,29.07,0.09,0.1,0.0,0.0002,Buena
2023-08-23 03:55:00,7940119,694152,7,7,85.08,0,-83,23.79,0.21,0.02,0.0001,0.001,Buena
2023-08-23 03:56:00,2737095,2428356,4,2,60.72,1,-81,14.41,0.07,0.06,0.0001,0.0001,Regular
2023-08-23 03:57:00,5780450,1312744,1,0,40.37,0,-114,9.16,0.15,0.04,0.0,0.0,Mala
2023-08-23 03:58:00,8469344,3619812,11,5,12.62,0,-81,12.7,0.23,0.1,0.0001,0.0001,Regular
2023-08-23 03:59:00,3109818,3712713,16,1,39.36,0,-84,0.52,0.08,0.1,0.0005,0.0,Mala
2023-08-23 04:00:00,3231785,4300760,6,1,22.3,0,-93,21.55,0.09,0.11,0.0002,0.0,Buena
2023-08-23 04:01:00,4853339,1475112,10,2,96.28,0,-111,2.99,0.13,0.04,0.0002,0.0001,Mala
2023-08-23 04:02:00,1996107,4533123,3,7,72.93,0,-100,15.57,0.05,0.12,0.0002,0.0002,Regular
2023-08-23 04:03:00,8130144,1055839,4,2,76.19,0,-92,16.98,0.22,0.03,0.0,0.0002,Regular
2023-08-23 04:04:00,5545583,1114101,5,6,46.42,1,-88,0.05,0.15,0.03,0.0001,0.0005,Mala
2023-08-23 04:05:00,4747389,949813,10,9,15.45,1,-91,29.4,0.13,0.03,0.0002,0.0009,Buena
2023-08-23 04:06:00,5142807,4346300,0,9,30.34,0,-109,9.06,0.14,0.12,0.0,0.0002,Mala
2023-08-23 04:07:00,8988004,2378266,9,8,29.67,0,-109,2.32,0.24,0.06,0.0001,0.0003,Mala
2023-08-23 04:08:00,7245035,1051238,19,7,51.24,0,-94,25.63,0.19,0.03,0.0003,0.0007,Buena
2023-08-23 04:09:00,4602279,4143488,10,0,48.79,0,-94,4.56,0.12,0.11,0.0002,0.0,Mala
2023-08-23 04:10:00,6515989,2581280,16,6,46.17,0,-89,0.75,0.17,0.07,0.0002,0.0002,Mala
2023-08-23 04:11:00,3121690,500215,7,6,52.12,0,-83,14.84,0.08,0.01,0.0002,0.0012,Regular
2023-08-23 04:12:00,1491234,3395107,12,7,98.77,0,-84,3.9,0.04,0.09,0.0008,0.0002,Mala
2023-08-23 04:13:00,6401218,3669562,19,9,33.34,0,-84,29.47,0.17,0.1,0.0003,0.0002,Buena
2023-08-23 04:14:00,7914550,1517375,17,4,63.45,1,-115,0.31,0.21,0.04,0.0002,0.0003,Mala
2023-08-23 04:15:00,7167294,772544,15,9,27.75,0,-106,1.54,0.19,0.02,0.0002,0.0012,Mala
2023-08-23 04:16:00,7906726,1034633,1,8,49.33,0,-112,25.0,0.21,0.03,0.0,0.0008,Regular
2023-08-23 04:17:00,6888794,2363907,4,8,24.0,0,-87,7.19,0.18,0.06,0.0001,0.0003,Mala
2023-08-23 04:18:00,8558158,1314661,17,7,58.03,0,-109,27.35,0.23,0.04,0.0002,0.0005,Regular
2023-08-23 04:19:00,7510425,3107421,2,5,30.18,0,-110,9.33,0.2,0.08,0.0,0.0002,Mala
2023-08-23 04:20:00,9511017,1816303,16,5,8.49,0,-105,2.09,0.25,0.05,0.0002,0.0003,Mala
2023-08-23 04:21:00,8887739,1422401,15,0,82.45,0,-107,0.32,0.24,0.04,0.0002,0.0,Mala
2023-08-23 04:22:00,1769598,1620113,5,5,17.18,1,-86,8.48,0.05,0.04,0.0003,0.0003,Mala
2023-08-23 04:23:00,6292895,2313353,18,3,39.96,0,-94,14.21,0.17,0.06,0.0003,0.0001,Regular
2023-08-23 04:24:00,8971379,4926421,6,3,50.33,0,-107,0.03,0.24,0.13,0.0001,0.0001,Mala
2023-08-23 04:25:00,4331068,3979664,17,1,46.09,0,-83,17.43,0.12,0.11,0.0004,0.0,Regular
2023-08-23 04:26:00,4256415,4039172,13,3,73.94,0,-90,10.01,0.11,0.11,0.0003,0.0001,Regular
2023-08-23 04:27:00,1874371,4653514,5,4,61.69,0,-100,11.7,0.05,0.12,0.0003,0.0001,Regular
2023-08-23 04:28:00,6654237,3158492,7,4,33.06,0,-107,7.84,0.18,0.08,0.0001,0.0001,Mala
2023-08-23 04:29:00,1973548,2643184,14,4,9.91,0,-93,15.87,0.05,0.07,0.0007,0.0002,Regular
2023-08-23 04:30:00,4344014,1004910,14,3,77.92,0,-101,6.9,0.12,0.03,0.0003,0.0003,Mala
2023-08-23 04:31:00,8064746,3941558,14,0,38.49,0,-97,4.04,0.22,0.11,0.0002,0.0,Mala
2023-08-23 04:32:00,7216204,1123090,15,9,89.52,0,-100,26.72,0.19,0.03,0.0002,0.0008,Regular
2023-08-23 04:33:00,6193542,2529341,0,7,42.53,0,-91,11.72,0.17,0.07,0.0,0.0003,Regular
2023-08-23 04:34:00,3959034,3517465,10,2,73.18,0,-81,2.31,0.11,0.09,0.0003,0.0001,Mala
2023-08-23 04:35:00,5574293,3026915,4,1,94.26,0,-103,6.91,0.15,0.08,0.0001,0.0,Mala
2023-08-23 04:36:00,7706971,2902114,4,8,66.86,1,-109,9.3,0.21,0.08,0.0001,0.0003,Mala
2023-08-23 04:37:00,1043585,3979799,5,6,44.28,0,-82,23.09,0.03,0.11,0.0005,0.0002,Buena
2023-08-23 04:38:00,3539448,2269617,1,8,58.9,0,-102,0.67,0.09,0.06,0.0,0.0004,Mala
2023-08-23 04:39:00,1109556,2938761,5,1,56.63,0,-93,14.35,0.03,0.08,0.0005,0.0,Regular
2023-08-23 04:40:00,2575557,3348039,13,8,60.56,0,-93,12.23,0.07,0.09,0.0005,0.0002,Regular
2023-08-23 04:41:00,9306461,1137509,10,9,18.95,0,-99,29.05,0.25,0.03,0.0001,0.0008,Regular
2023-08-23 04:42:00,3009021,2896629,3,8,71.36,0,-103,5.4,0.08,0.08,0.0001,0.0003,Mala
2023-08-23 04:43:00,2201482,1380432,8,8,18.78,1,-89,18.84,0.06,0.04,0.0004,0.0006,Regular
2023-08-23 04:44:00,1542335,966995,2,9,6.39,0,-114,6.07,0.04,0.03,0.0001,0.0009,Mala
2023-08-23 04:45:00,5270070,4439625,15,9,64.35,0,-86,16.45,0.14,0.12,0.0003,0.0002,Regular
2023-08-23 04:46:00,7700379,2129618,10,3,16.11,0,-112,16.65,0.21,0.06,0.0001,0.0001,Regular
2023-08-23 04:47:00,4560920,3874775,3,9,78.19,0,-86,2.26,0.12,0.1,0.0001,0.0002,Mala
2023-08-23 04:48:00,7860006,2690002,0,2,87.27,0,-113,13.69,0.21,0.07,0.0,0.0001,Regular
2023-08-23 04:49:00,3484413,3493349,15,5,94.75,0,-102,13.83,0.09,0.09,0.0004,0.0001,Regular
2023-08-23 04:50:00,3907360,1742522,18,2,68.13,0,-105,9.57,0.1,0.05,0.0005,0.0001,Mala
2023-08-23 04:51:00,6895544,3068101,15,8,50.79,0,-93,8.31,0.18,0.08,0.0002,0.0003,Mala
2023-08-23 04:52:00,6697469,1466325,10,2,38.47,0,-84,6.73,0.18,0.04,0.0001,0.0001,Mala
2023-08-23 04:53:00,3235000,4497936,7,1,51.64,0,-113,0.18,0.09,0.12,0.0002,0.0,Mala
2023-08-23 04:54:00,7908531,1797776,0,7,23.08,0,-115,0.05,0.21,0.05,0.0,0.0004,Mala
2023-08-23 04:55:00,5322252,2541215,8,5,38.1,0,-107,17.69,0.14,0.07,0.0002,0.0002,Regular
2023-08-23 04:56:00,6822184,2307317,11,7,73.2,1,-107,8.74,0.18,0.06,0.0002,0.0003,Mala
2023-08-23 04:57:00,1402690,4202590,7,6,25.66,0,-104,5.04,0.04,0.11,0.0005,0.0001,Mala
2023-08-23 04:58:00,3548421,4272088,16,2,30.09,0,-115,20.54,0.09,0.11,0.0005,0.0,Regular
2023-08-23 04:59:00,2954109,1983702,9,7,76.19,0,-100,15.87,0.08,0.05,0.0003,0.0004,Regular
2023-08-23 05:00:00,5422880,4386613,6,9,21.89,0,-86,27.45,0.14,0.12,0.0001,0.0002,Buena
2023-08-23 05:01:00,8205547,4510442,18,0,28.36,0,-108,24.93,0.22,0.12,0.0002,0.0,Regular
2023-08-23 05:02:00,9323735,4804083,5,0,6.67,0,-106,21.8,0.25,0.13,0.0001,0.0,Regular
2023-08-23 05:03:00,7457294,3804860,18,9,73.4,0,-83,3.8,0.2,0.1,0.0002,0.0002,Mala
2023-08-23 05:04:00,2384250,834248,17,7,63.7,0,-94,19.98,0.06,0.02,0.0007,0.0008,Regular
2023-08-23 05:05:00,1061087,1161440,14,8,70.97,0,-100,20.82,0.03,0.03,0.0013,0.0007,Regular
2023-08-23 05:06:00,7409907,1693502,1,9,25.36,0,-97,22.9,0.2,0.05,0.0,0.0005,Regular
2023-08-23 05:07:00,2496176,3829782,13,5,70.3,0,-105,7.89,0.07,0.1,0.0005,0.0001,Mala
2023-08-23 05:08:00,1039353,1254981,9,4,61.66,0,-105,19.21,0.03,0.03,0.0009,0.0003,Regular
2023-08-23 05:09:00,7484531,881325,15,1,39.78,0,-102,18.55,0.2,0.02,0.0002,0.0001,Regular
2023-08-23 05:10:00,4360011,1313526,6,8,46.59,0,-90,11.56,0.12,0.04,0.0001,0.0006,Regular
2023-08-23 05:11:00,8654909,1463544,7,5,58.95,0,-96,19.91,0.23,0.04,0.0001,0.0003,Regular
2023-08-23 05:12:00,5259622,2926062,9,7,51.86,0,-96,2.6,0.14,0.08,0.0002,0.0002,Mala
2023-08-23 05:13:00,5959617,1105751,14,8,65.97,0,-111,19.31,0.16,0.03,0.0002,0.0007,Regular
2023-08-23 05:14:00,6725570,2238614,7,8,22.19,0,-115,18.18,0.18,0.06,0.0001,0.0004,Regular
2023-08-23 05:15:00,1416880,3932338,12,7,56.37,0,-105,6.32,0.04,0.1,0.0008,0.0002,Mala
2023-08-23 05:16:00,8072695,973656,11,9,47.78,1,-106,24.55,0.22,0.03,0.0001,0.0009,Regular
2023-08-23 05:17:00,8433296,1458379,7,7,48.8,0,-88,26.23,0.22,0.04,0.0001,0.0005,Buena
2023-08-23 05:18:00,5965050,3401884,14,2,49.59,0,-82,6.31,0.16,0.09,0.0002,0.0001,Mala
2023-08-23 05:19:00,1813168,4527187,11,2,88.74,0,-103,2.28,0.05,0.12,0.0006,0.0,Mala
2023-08-23 05:20:00,1225281,506464,10,1,82.77,0,-91,18.11,0.03,0.01,0.0008,0.0002,Regular
2023-08-23 05:21:00,4782875,2089426,18,0,64.81,0,-93,14.4,0.13,0.06,0.0004,0.0,Regular
2023-08-23 05:22:00,3995765,4225530,13,3,73.07,0,-104,12.83,0.11,0.11,0.0003,0.0001,Regular
2023-08-23 05:23:00,8734102,1661140,17,1,9.07,0,-114,22.83,0.23,0.04,0.0002,0.0001,Regular
2023-08-23 05:24:00,6595108,1918767,12,1,75.68,0,-96,29.09,0.18,0.05,0.0002,0.0001,Regular
2023-08-23 05:25:00,6674719,4113163,3,4,51.19,0,-100,14.33,0.18,0.11,0.0,0.0001,Regular
2023-08-23 05:26:00,9658144,3154074,16,3,35.19,0,-102,0.18,0.26,0.08,0.0002,0.0001,Mala
2023-08-23 05:27:00,7609280,2335068,18,0,18.28,0,-114,17.89,0.2,0.06,0.0002,0.0,Regular
2023-08-23 05:28:00,6500306,2344277,8,8,12.14,0,-100,19.62,0.17,0.06,0.0001,0.0003,Regular
2023-08-23 05:29:00,5372093,765039,6,3,9.26,0,-112,24.84,0.14,0.02,0.0001,0.0004,Regular
2023-08-23 05:30:00,2561729,1891579,0,4,20.37,1,-103,5.98,0.07,0.05,0.0,0.0002,Mala
2023-08-23 05:31:00,6031595,2576259,6,6,7.86,0,-115,15.73,0.16,0.07,0.0001,0.0002,Regular
2023-08-23 05:32:00,6478047,2701279,6,1,74.6,0,-107,13.41,0.17,0.07,0.0001,0.0,Regular
2023-08-23 05:33:00,2119043,4790730,19,7,28.62,0,-95,19.93,0.06,0.13,0.0009,0.0001,Regular
2023-08-23 05:34:00,8103230,3546672,6,1,40.03,0,-98,1.92,0.22,0.09,0.0001,0.0,Mala
2023-08-23 05:35:00,3558231,1560538,7,9,83.16,0,-84,26.52,0.09,0.04,0.0002,0.0006,Buena
2023-08-23 05:36:00,7659908,1896102,15,4,15.89,1,-82,15.33,0.2,0.05,0.0002,0.0002,Regular
2023-08-23 05:37:00,4080389,504011,2,1,84.38,0,-96,26.31,0.11,0.01,0.0,0.0002,Regular
2023-08-23 05:38:00,2661909,2464724,12,1,65.76,0,-114,10.21,0.07,0.07,0.0005,0.0,Regular
2023-08-23 05:39:00,3656138,4714086,9,3,37.49,0,-112,19.61,0.1,0.13,0.0002,0.0001,Regular
2023-08-23 05:40:00,1110078,932941,17,3,16.19,0,-109,28.7,0.03,0.02,0.0015,0.0003,Regular
2023-08-23 05:41:00,2915631,3689187,6,7,13.69,0,-94,28.3,0.08,0.1,0.0002,0.0002,Buena
2023-08-23 05:42:00,7314127,3208685,4,5,36.87,0,-96,28.32,0.2,0.09,0.0001,0.0002,Regular
2023-08-23 05:43:00,3008187,1103151,6,9,18.33,0,-81,1.29,0.08,0.03,0.0002,0.0008,Mala
2023-08-23 05:44:00,2659066,2323327,16,7,30.43,0,-112,12.09,0.07,0.06,0.0006,0.0003,Regular
2023-08-23 05:45:00,3148815,4426449,3,6,10.03,1,-96,1.82,0.08,0.12,0.0001,0.0001,Mala
2023-08-23 05:46:00,8355740,2340277,15,9,61.53,0,-81,9.28,0.22,0.06,0.0002,0.0004,Mala
2023-08-23 05:47:00,5506259,4808307,18,3,18.8,0,-83,5.24,0.15,0.13,0.0003,0.0001,Mala
2023-08-23 05:48:00,8473915,4944910,9,1,76.89,0,-95,18.6,0.23,0.13,0.0001,0.0,Regular
2023-08-23 05:49:00,8658426,1231636,2,8,25.73,0,-102,23.42,0.23,0.03,0.0,0.0006,Regular
2023-08-23 05:50:00,7404003,1186290,2,1,80.81,0,-85,15.4,0.2,0.03,0.0,0.0001,Regular
2023-08-23 05:51:00,5135314,2261169,16,0,23.04,0,-94,23.86,0.14,0.06,0.0003,0.0,Buena
2023-08-23 05:52:00,1910681,2280832,9,7,73.53,0,-86,0.38,0.05,0.06,0.0005,0.0003,Mala
2023-08-23 05:53:00,2607618,3716662,16,9,36.64,1,-87,24.61,0.07,0.1,0.0006,0.0002,Buena
2023-08-23 05:54:00,4896830,2864825,16,8,60.4,0,-87,5.35,0.13,0.08,0.0003,0.0003,Mala
2023-08-23 05:55:00,5336787,4422380,3,0,8.67,0,-109,13.83,0.14,0.12,0.0001,0.0,Regular
2023-08-23 05:56:00,3755423,2953894,5,6,52.05,0,-84,13.28,0.1,0.08,0.0001,0.0002,Regular
2023-08-23 05:57:00,1071295,2680139,11,1,19.13,0,-103,26.19,0.03,0.07,0.001,0.0,Regular
2023-08-23 05:58:00,8613287,4219194,19,5,51.2,0,-103,28.98,0.23,0.11,0.0002,0.0001,Regular
2023-08-23 05:59:00,4445376,3783737,16,4,18.43,0,-102,7.65,0.12,0.1,0.0004,0.0001,Mala
2023-08-23 06:00:00,6251035,1932672,16,0,46.52,0,-110,2.02,0.17,0.05,0.0003,0.0,Mala
2023-08-23 06:01:00,4612600,1064174,9,1,15.51,0,-100,19.52,0.12,0.03,0.0002,0.0001,Regular
2023-08-23 06:02:00,1825816,2122563,6,1,25.9,0,-95,15.09,0.05,0.06,0.0003,0.0,Regular
2023-08-23 06:03:00,9763313,3028474,15,9,61.53,0,-100,16.97,0.26,0.08,0.0002,0.0003,Regular
2023-08-23 06:04:00,3026793,2707928,12,9,97.78,1,-111,1.39,0.08,0.07,0.0004,0.0003,Mala
2023-08-23 06:05:00,1554594,4271460,2,5,47.67,0,-92,23.26,0.04,0.11,0.0001,0.0001,Buena
